rebalance_date,ticker,weight,fund
2021-01-04,ABBV,0.062194833984130615,combined_min_variance
2021-02-01,ABBV,0.06580000013463652,combined_min_variance
2021-03-01,ABBV,0.06773913545815932,combined_min_variance
2021-04-01,ABBV,0.04301566984550653,combined_min_variance
2021-05-03,ABBV,0.032614250209063306,combined_min_variance
2021-06-01,ABBV,0.02771831429327387,combined_min_variance
2021-07-01,ABBV,0.02390662095473106,combined_min_variance
2021-08-02,ABBV,0.023648531959297198,combined_min_variance
2021-09-01,ABBV,0.023414721736084942,combined_min_variance
2021-10-01,ABBV,0.0227121340165655,combined_min_variance
2021-11-01,ABBV,0.02305213313327952,combined_min_variance
2021-12-01,ABBV,0.020175581417280715,combined_min_variance
2022-01-03,ABBV,0.020768031892550623,combined_min_variance
2022-02-01,ABBV,0.021037901519688013,combined_min_variance
2022-03-01,ABBV,0.021199656466913307,combined_min_variance
2022-04-01,ABBV,0.021425763495091187,combined_min_variance
2022-05-02,ABBV,0.02221869459028172,combined_min_variance
2022-06-01,ABBV,0.0336682661667939,combined_min_variance
2022-07-01,ABBV,0.02801006214089535,combined_min_variance
2022-08-01,ABBV,0.028744736387107166,combined_min_variance
2022-09-01,ABBV,0.028587178445909255,combined_min_variance
2022-10-03,ABBV,0.04067054550444348,combined_min_variance
2022-11-01,ABBV,0.04434101566596893,combined_min_variance
2022-12-01,ABBV,0.04185147599884539,combined_min_variance
2023-01-03,ABBV,0.052435333550240826,combined_min_variance
2023-02-01,ABBV,0.051241132434174365,combined_min_variance
2023-03-01,ABBV,0.04528235007751113,combined_min_variance
2023-04-03,ABBV,0.06053061475620763,combined_min_variance
2023-05-01,ABBV,0.05290400703980435,combined_min_variance
2023-06-01,ABBV,0.05409161381918155,combined_min_variance
2023-07-03,ABBV,0.04338882573288256,combined_min_variance
2023-08-01,ABBV,0.04460825868578142,combined_min_variance
2023-09-01,ABBV,0.04698976169221671,combined_min_variance
2023-10-02,ABBV,0.03509813372548193,combined_min_variance
2023-11-01,ABBV,0.02634203583607854,combined_min_variance
2023-12-01,ABBV,0.016666666666666666,combined_min_variance
2021-01-04,ABT,0.029454610991088027,combined_min_variance
2021-02-01,ABT,0.026745393168975274,combined_min_variance
2021-03-01,ABT,0.027127918449749062,combined_min_variance
2021-04-01,ABT,0.03648877515343575,combined_min_variance
2021-05-03,ABT,0.02814104516095051,combined_min_variance
2021-06-01,ABT,0.02751563513587017,combined_min_variance
2021-07-01,ABT,0.02530447217398027,combined_min_variance
2021-08-02,ABT,0.025893101534248578,combined_min_variance
2021-09-01,ABT,0.02592664500637668,combined_min_variance
2021-10-01,ABT,0.026024411574491,combined_min_variance
2021-11-01,ABT,0.026383235163614904,combined_min_variance
2021-12-01,ABT,0.020461516703248278,combined_min_variance
2022-01-03,ABT,0.02114151881051204,combined_min_variance
2022-02-01,ABT,0.02101390373336235,combined_min_variance
2022-03-01,ABT,0.021028391785883067,combined_min_variance
2022-04-01,ABT,0.020963475103658497,combined_min_variance
2022-05-02,ABT,0.021293575474538452,combined_min_variance
2022-06-01,ABT,0.024468560376563274,combined_min_variance
2022-07-01,ABT,0.022399386370561988,combined_min_variance
2022-08-01,ABT,0.0218522456348278,combined_min_variance
2022-09-01,ABT,0.021446724623841396,combined_min_variance
2022-10-03,ABT,0.022734273530306597,combined_min_variance
2022-11-01,ABT,0.022354067434275725,combined_min_variance
2022-12-01,ABT,0.021516835880747823,combined_min_variance
2023-01-03,ABT,0.018856315342954247,combined_min_variance
2023-02-01,ABT,0.019778617686921053,combined_min_variance
2023-03-01,ABT,0.02131898691161786,combined_min_variance
2023-04-03,ABT,0.020031846071392877,combined_min_variance
2023-05-01,ABT,0.022937542716341183,combined_min_variance
2023-06-01,ABT,0.025945148242181384,combined_min_variance
2023-07-03,ABT,0.026624432507990254,combined_min_variance
2023-08-01,ABT,0.027757319317589273,combined_min_variance
2023-09-01,ABT,0.028716604152696754,combined_min_variance
2023-10-02,ABT,0.024874819712595246,combined_min_variance
2023-11-01,ABT,0.022482976027726666,combined_min_variance
2023-12-01,ABT,0.016666666666666666,combined_min_variance
2021-01-04,ADA-USD,0.0,combined_min_variance
2021-02-01,ADA-USD,0.0,combined_min_variance
2021-03-01,ADA-USD,1.051087318250495e-18,combined_min_variance
2021-04-01,ADA-USD,0.0,combined_min_variance
2021-05-03,ADA-USD,1.899313580475643e-05,combined_min_variance
2021-06-01,ADA-USD,6.428725414428033e-05,combined_min_variance
2021-07-01,ADA-USD,7.047314121155779e-19,combined_min_variance
2021-08-02,ADA-USD,9.761458007965409e-05,combined_min_variance
2021-09-01,ADA-USD,0.000796811059463186,combined_min_variance
2021-10-01,ADA-USD,9.503049580611923e-20,combined_min_variance
