date,daily_return,fund
2021-06-15,-0.004276361255785711,combined_min_variance
2021-06-16,-0.009977058904462977,combined_min_variance
2021-06-17,-0.0013461865899172846,combined_min_variance
2021-06-18,-0.013317770777985828,combined_min_variance
2021-06-21,0.011982558741100081,combined_min_variance
2021-06-22,0.00011409019044443363,combined_min_variance
2021-06-23,-0.005486176801457875,combined_min_variance
2021-06-24,0.006026959199580277,combined_min_variance
2021-06-25,0.008330018885264625,combined_min_variance
2021-06-28,0.003360429781669499,combined_min_variance
2021-06-29,-0.0006441371308210481,combined_min_variance
2021-06-30,0.0025812692644609564,combined_min_variance
2021-07-01,0.004867977870434222,combined_min_variance
2021-07-02,0.004839646040953348,combined_min_variance
2021-07-06,-0.004410107899872029,combined_min_variance
2021-07-07,0.0019355529492153037,combined_min_variance
2021-07-08,-0.006941704665108426,combined_min_variance
2021-07-09,0.009999246273590542,combined_min_variance
2021-07-12,0.0042184292355861895,combined_min_variance
2021-07-13,-0.003617318577786407,combined_min_variance
2021-07-14,0.0020002980510005525,combined_min_variance
2021-07-15,0.00035141620921056696,combined_min_variance
2021-07-16,-0.0053213215063006416,combined_min_variance
2021-07-19,-0.01432485640431864,combined_min_variance
2021-07-20,0.008867845994081917,combined_min_variance
2021-07-21,0.005441175923289212,combined_min_variance
2021-07-22,-0.0005124873502714798,combined_min_variance
2021-07-23,0.007047326482149785,combined_min_variance
2021-07-26,0.003073757604016805,combined_min_variance
2021-07-27,-0.0002975781795392932,combined_min_variance
2021-07-28,0.0007576510807649822,combined_min_variance
2021-07-29,0.0048320049354820946,combined_min_variance
2021-07-30,-0.003686091629863484,combined_min_variance
2021-08-02,-0.0014898403171351034,combined_min_variance
2021-08-03,0.004505708223923232,combined_min_variance
2021-08-04,-0.006372864754316424,combined_min_variance
2021-08-05,0.004333406368213052,combined_min_variance
2021-08-06,0.0013940852389003184,combined_min_variance
2021-08-09,-0.0013392910629678625,combined_min_variance
2021-08-10,0.0034566770042841035,combined_min_variance
2021-08-11,0.007201474111264242,combined_min_variance
2021-08-12,0.002361910388938303,combined_min_variance
